"Label","EmailText"
"ham","Go until - jurong  me@you.fr       point"
"ham","Ok lar... https://stackoverflow.com/questions/60456814/get-list-of-supported-countries-from-faker Joking wif u oni..."
"spam","Free entry in 2.3 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's"
"ham","U dun say so early hor... U c already then say..."
"ham","Nah I don't think he goes to usf"
"spam","FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send"
"ham","Even my brother is not like to speak with me. They treat me like aids patent."
"ham","As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune"
"spam","WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only."
"spam","Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030"
"ham","I'm gonna be home soon and i don't want to talk about this stuff anymore tonight"
"spam","SIX chances to win CASH! From 100 to 20"
"0","this is an email of test"
"1","this is an email of test"
"1","this is an email of test"
"0","this is an email of test"
